
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029959                       # Number of seconds simulated (Second)
simTicks                                  29959334000                       # Number of ticks simulated (Tick)
finalTick                                 29959334000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    431.19                       # Real time elapsed on the host (Second)
hostTickRate                                 69481337                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     796660                       # Number of bytes of host memory used (Byte)
simInsts                                    104693735                       # Number of instructions simulated (Count)
simOps                                      190503147                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242804                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441813                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         3153142                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11864146                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     302                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      11853946                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              115320                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           103658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                146                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            3110446                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::mean              3.811012                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::stdev             2.185035                       # Number of insts issued each cycle
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu          108      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt           50      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc        10262      0.09%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAlu            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCmp            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCvt            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatDiv            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMisc            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMult            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceAdd            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceAlu            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceCmp            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAes            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAesMix            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha1Hash            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha256Hash            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShaSigma2            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShaSigma3            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdPredAlu            0      0.00%     77.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::MemRead      1516661     12.91%     90.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::MemWrite      1059244      9.02%     99.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMemRead        30144      0.26%     99.48% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMemWrite        60760      0.52%    100.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::total     11749122                       # Class of committed instruction (Count)
system.cpu0.commit.commitEligibleSamples       679167                       # number cycles where commit BW limit reached (Cycle)
system.cpu0.decode.idleCycles                 1047508                       # Number of cycles decode is idle (Cycle)
system.cpu0.decode.blockedCycles               122712                       # Number of cycles decode is blocked (Cycle)
system.cpu0.decode.runCycles                  1922303                       # Number of cycles decode is running (Cycle)
system.cpu0.decode.unblockCycles                12937                       # Number of cycles decode is unblocking (Cycle)
system.cpu0.decode.squashCycles                  4986                       # Number of cycles decode is squashing (Cycle)
system.cpu0.decode.branchResolved              607104                       # Number of times decode resolved a branch (Count)
system.cpu0.decode.branchMispred                  376                       # Number of times decode detected a branch misprediction (Count)
system.cpu0.decode.decodedInsts              11932464                       # Number of instructions handled by decode (Count)
system.cpu0.decode.squashedInsts                 1750                       # Number of squashed instructions handled by decode (Count)
system.cpu0.fetch.icacheStallCycles           1016402                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu0.fetch.insts                       6507237                       # Number of instructions fetch has processed (Count)
system.cpu0.fetch.branches                    1386617                       # Number of branches that fetch encountered (Count)
system.cpu0.fetch.predictedBranches            678730                       # Number of branches that fetch has predicted taken (Count)
system.cpu0.fetch.cycles                      2088072                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu0.fetch.squashCycles                  10698                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu0.fetch.miscStallCycles                 150                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu0.fetch.pendingTrapStallCycles          451                       # Number of stall cycles due to pending traps (Cycle)
system.cpu0.fetch.pendingQuiesceStallCycles            5                       # Number of stall cycles due to pending quiesce instructions (Cycle)
system.cpu0.fetch.icacheWaitRetryStallCycles           17                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu0.fetch.cacheLines                   986509                       # Number of cache lines fetched (Count)
system.cpu0.fetch.icacheSquashes                 1834                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu0.fetch.nisnDist::samples           3110446                       # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::mean             3.840755                       # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::stdev            3.482697                       # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::0                 1164314     37.43%     37.43% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::1                   90396      2.91%     40.34% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::2                   84091      2.70%     43.04% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::3                  233941      7.52%     50.56% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::4                   92333      2.97%     53.53% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::5                  151577      4.87%     58.40% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::6                  190696      6.13%     64.54% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::7                  110116      3.54%     68.08% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::8                  992982     31.92%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::overflows               0      0.00%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::min_value               0                       # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::max_value               8                       # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.nisnDist::total             3110446                       # Number of instructions fetched each cycle (Total)
system.cpu0.fetch.branchRate                 0.439757                       # Number of branch fetches per cycle (Ratio)
system.cpu0.fetch.rate                       2.063731                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu0.interrupts.clk_domain.clock          8000                       # Clock period in ticks (Tick)
system.cpu0.lsq0.forwLoads                     288179                       # Number of loads that had data forwarded from stores (Count)
system.cpu0.lsq0.squashedLoads                   8257                       # Number of loads squashed (Count)
system.cpu0.lsq0.ignoredResponses                 204                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu0.lsq0.memOrderViolation                101                       # Number of memory ordering violations (Count)
system.cpu0.lsq0.squashedStores                  9086                       # Number of stores squashed (Count)
system.cpu0.lsq0.rescheduledLoads               10000                       # Number of loads that were rescheduled (Count)
system.cpu0.lsq0.blockedByCache                     1                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu0.mmu.dtb.rdAccesses                1563072                       # TLB accesses on read requests (Count)
system.cpu0.mmu.dtb.wrAccesses                1126096                       # TLB accesses on write requests (Count)
system.cpu0.mmu.dtb.rdMisses                      126                       # TLB misses on read requests (Count)
system.cpu0.mmu.dtb.wrMisses                       67                       # TLB misses on write requests (Count)
system.cpu0.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.mmu.itb.rdAccesses                      0                       # TLB accesses on read requests (Count)
